"LOG:concept:name","LOG:lifecycle:model","LOG:source","LOG:Calculation Time (ms)","LOG:Num. States","LOG:Trace Fitness","LOG:Title of Visualization","LOG:Exit code of alignment for trace","LOG:Model move cost empty trace","LOG:Number of LPs solved","LOG:Queued States","LOG:Raw Fitness Cost","LOG:Move-Model Fitness","LOG:Pre-processing time (ms)","LOG:Move-Log Fitness","LOG:Trace Length","LOG:Approximate memory used (kb)","TRACE:concept:name","TRACE:LogType","TRACEAL:Raw Fitness Cost","TRACEAL:Calculation Time (ms)","TRACEAL:Num. States","TRACEAL:Move-Model Fitness","TRACEAL:Trace Fitness","TRACEAL:Pre-processing time (ms)","TRACEAL:Move-Log Fitness","TRACEAL:Trace Length","TRACEAL:Exit code of alignment for trace","TRACEAL:Approximate memory used (kb)","TRACEAL:Number of LPs solved","TRACEAL:Queued States","EVT:concept:name","EVT:time:timestamp","EVT:lifecycle:transition","EVT:elementId","EVT:processId","EVTAL:Transition","EVTAL:TransitionID","EVTAL:TransEvClass","EVTAL:Cost","EVTAL:Marking","EVTAL:ParikhVector","EVTAL:ActivityInstance",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","teaching activity assigned","2022-12-23T15:01:13.289+01:00","complete","StartEvent_0ckyvch","Process_1pgml2g","Teaching activity assigned","node af70ebfc-36a6-4eac-bffa-381100678771","teaching activity assigned","0","[(start,1)]","[(Course terminated,1) (Define UDA,1) (Deliver UDA,1) (define program,1) (do lab lectures,6) (do pilot lecture,1) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (lectures start,1) (prepare evaluation,1) (prepare lab lectures,1) (prepare slides,1) (submit intermediate test,6) (teaching activity assigned,1) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","define program","2022-12-23T15:01:20.223+01:00","complete","Activity_0dp1dgh","Process_1pgml2g","define program","node e7ae441a-47ba-4ccf-98e9-aeb4d8e1ee67","define program","0","[(,1)]","[(Course terminated,1) (Define UDA,1) (Deliver UDA,1) (define program,1) (do lab lectures,6) (do pilot lecture,1) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (lectures start,1) (prepare evaluation,1) (prepare lab lectures,1) (prepare slides,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","prepare slides","2022-12-23T15:01:28.942+01:00","complete","Activity_1q1l9of","Process_1pgml2g","prepare slides","node 7317d716-6ce6-402d-b292-4ffb27ddb5ec","prepare slides","0","[(,1) (p6,1) (,1)]","[(Course terminated,1) (Define UDA,1) (Deliver UDA,1) (do lab lectures,6) (do pilot lecture,1) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (lectures start,1) (prepare evaluation,1) (prepare lab lectures,1) (prepare slides,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","prepare evaluation","2022-12-23T15:01:34.958+01:00","complete","Activity_0a6x480","Process_1pgml2g","prepare evaluation","node 9bef2268-34e1-47cb-8cd6-f7a7d432e181","prepare evaluation","0","[(p6,1) (,1) (,1)]","[(Course terminated,1) (Define UDA,1) (Deliver UDA,1) (do lab lectures,6) (do pilot lecture,1) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (lectures start,1) (prepare evaluation,1) (prepare lab lectures,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","prepare lab lectures","2022-12-23T15:01:38.536+01:00","complete","Activity_09myjy5","Process_1pgml2g","prepare lab lectures","node 273051d3-72aa-48b1-b033-2bb0546192dc","prepare lab lectures","0","[(p6,1) (,1) (,1)]","[(Course terminated,1) (Define UDA,1) (Deliver UDA,1) (do lab lectures,6) (do pilot lecture,1) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (lectures start,1) (prepare lab lectures,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","Define UDA","2022-12-23T15:01:38.695+01:00","complete","Activity_05joqm6","Process_1pgml2g","Define UDA","node 733d5c5f-296f-44b3-bf73-6ab921fdd507","Define UDA","0","[(,1) (,1) (,1)]","[(Course terminated,1) (Define UDA,1) (Deliver UDA,1) (do lab lectures,6) (do pilot lecture,1) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (lectures start,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","Deliver UDA","2022-12-23T15:01:39.695+01:00","complete","Activity_0ztl2a3","Process_1pgml2g","deliver UDA","node ece156d9-646d-4d16-8f29-970ad55427ee","Deliver UDA","0","[(,1)]","[(Course terminated,1) (Deliver UDA,1) (do lab lectures,6) (do pilot lecture,1) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (lectures start,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","lectures start","2022-12-23T15:14:14.418+01:00","complete","Event_0840nyh","Process_1pgml2g","lectures started","node 6895e0d8-54d3-4c4d-8c6d-83bf1b275c72","lectures start","0","[(,1)]","[(Course terminated,1) (do lab lectures,6) (do pilot lecture,1) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (lectures start,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do pilot lecture","2022-12-23T15:14:17.418+01:00","complete","Activity_15i04br","Process_1pgml2g","do pilot class","node de92ddea-d56d-4820-a042-6f11f075d081","do pilot lecture","0","[(,1)]","[(Course terminated,1) (do lab lectures,6) (do pilot lecture,1) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","null","null","null","null","null","","node ac9087af-3daa-47f6-a921-874ca741347f","null","0","[(,1)]","[(Course terminated,1) (do lab lectures,6) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do theoretical lectures","2022-12-23T15:14:21.906+01:00","complete","Activity_1ijhrv3","Process_1pgml2g","do theoretical lectures","node 370821f2-32b6-4b22-9437-f9f2c72adb93","do theoretical lectures","0","[(,1)]","[(Course terminated,1) (do lab lectures,6) (do theoretical lectures,6) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do lab lectures","2022-12-23T15:14:24.906+01:00","complete","Activity_0iyipuc","Process_1pgml2g","do lab lectures","node e8f8bdbe-da7b-40b4-87a0-bff88b965f1b","do lab lectures","0","[(,1)]","[(Course terminated,1) (do lab lectures,6) (do theoretical lectures,5) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","submit intermediate test","2022-12-23T15:14:27.906+01:00","complete","Activity_1vwi4lq","Process_1pgml2g","submit intermediate test","node f36122f4-c5d8-4229-baeb-5bd0f05c5616","submit intermediate test","0","[(,1)]","[(Course terminated,1) (do lab lectures,5) (do theoretical lectures,5) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,6) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","test terminated","2022-12-23T15:14:28.906+01:00","complete","Event_0ygo8qn","Process_1pgml2g","test terminated","node 95365ff1-b34b-4935-956c-fd46da3e5004","test terminated","0","[(,1)]","[(Course terminated,1) (do lab lectures,5) (do theoretical lectures,5) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,5) (test terminated,6)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","evaluate results","2022-12-23T15:14:31.417+01:00","complete","Activity_0ct8zpo","Process_1pgml2g","evaluate results","node 80d30cc1-bd75-4191-878e-561a440217da","evaluate results","0","[(,1)]","[(Course terminated,1) (do lab lectures,5) (do theoretical lectures,5) (evaluate results,6) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,5) (test terminated,5)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do theoretical lectures","2022-12-23T15:14:34.127+01:00","complete","Activity_1ijhrv3","Process_1pgml2g","do theoretical lectures","node 593592af-e89a-4ea2-b592-f55c1ee3d249","do theoretical lectures","0","[(,1)]","[(Course terminated,1) (do lab lectures,5) (do theoretical lectures,5) (evaluate results,5) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,5) (test terminated,5)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do lab lectures","2022-12-23T15:14:37.127+01:00","complete","Activity_0iyipuc","Process_1pgml2g","do lab lectures","node e8f8bdbe-da7b-40b4-87a0-bff88b965f1b","do lab lectures","0","[(,1)]","[(Course terminated,1) (do lab lectures,5) (do theoretical lectures,4) (evaluate results,5) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,5) (test terminated,5)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","submit intermediate test","2022-12-23T15:14:40.127+01:00","complete","Activity_1vwi4lq","Process_1pgml2g","submit intermediate test","node f36122f4-c5d8-4229-baeb-5bd0f05c5616","submit intermediate test","0","[(,1)]","[(Course terminated,1) (do lab lectures,4) (do theoretical lectures,4) (evaluate results,5) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,5) (test terminated,5)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","test terminated","2022-12-23T15:14:41.127+01:00","complete","Event_0ygo8qn","Process_1pgml2g","test terminated","node 95365ff1-b34b-4935-956c-fd46da3e5004","test terminated","0","[(,1)]","[(Course terminated,1) (do lab lectures,4) (do theoretical lectures,4) (evaluate results,5) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,4) (test terminated,5)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","evaluate results","2022-12-23T15:14:43.445+01:00","complete","Activity_0ct8zpo","Process_1pgml2g","evaluate results","node 80d30cc1-bd75-4191-878e-561a440217da","evaluate results","0","[(,1)]","[(Course terminated,1) (do lab lectures,4) (do theoretical lectures,4) (evaluate results,5) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,4) (test terminated,4)]","null",
