Result of replaying Petri net of Filtered log on Filtered log

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Pre-processing time (ms)","Move-Log Fitness","Trace Length","Exit code of alignment for trace","Approximate memory used (kb)","Number of LPs solved","Queued States",Match
1,"7|36|1|46|21",5,Yes,"0,00","4,44","318,00","1,00","1,00","0,07","1,00","48,00","1,00","24,00","1,00","345,00",[L/M]teaching activity assigned|[L/M]define program|[L/M]prepare slides|[L/M]prepare evaluation|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
2,"6|3|45|32",4,Yes,"0,00","4,17","278,00","1,00","1,00","0,06","1,00","43,00","1,00","23,00","1,00","301,00",[L/M]teaching activity assigned|[L/M]define program|[L/M]prepare slides|[L/M]prepare evaluation|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]Course terminated|[L/M]final evaluation|[M-INVI]tau join
3,"4|15|31",3,Yes,"0,00","3,66","198,00","1,00","1,00","0,05","1,00","33,00","1,00","19,00","1,00","213,00",[L/M]teaching activity assigned|[L/M]define program|[L/M]prepare slides|[L/M]prepare evaluation|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
4,"29|35|34",3,Yes,"0,00","3,46","158,00","1,00","1,00","0,05","1,00","28,00","1,00","14,00","1,00","169,00",[L/M]teaching activity assigned|[L/M]define program|[L/M]prepare slides|[L/M]prepare evaluation|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
5,"39|33|10",3,Yes,"0,00","3,31","78,00","1,00","1,00","0,03","1,00","18,00","1,00","9,00","1,00","81,00",[L/M]teaching activity assigned|[L/M]define program|[L/M]prepare slides|[L/M]prepare evaluation|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
6,"28|9",2,Yes,"0,00","7,32","559,00","1,00","1,00","0,13","1,00","78,00","1,00","41,00","1,00","610,00",[L/M]teaching activity assigned|[L/M]define program|[L/M]prepare slides|[L/M]prepare evaluation|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
7,"14|12",2,Yes,"0,00","5,97","439,00","1,00","1,00","0,10","1,00","63,00","1,00","38,00","1,00","478,00",[L/M]teaching activity assigned|[L/M]define program|[L/M]prepare slides|[L/M]prepare evaluation|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
8,"0|42",2,Yes,"0,00","5,29","399,00","1,00","1,00","0,09","1,00","58,00","1,00","36,00","1,00","434,00",[L/M]teaching activity assigned|[L/M]define program|[L/M]prepare slides|[L/M]prepare evaluation|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
9,"18|22",2,Yes,"0,00","3,41","120,00","1,00","1,00","0,04","1,00","24,00","1,00","13,00","1,00","126,00",[L/M]teaching activity assigned|[L/M]define program|[L/M]prepare slides|[L/M]prepare evaluation|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[L/M]refactor material|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
10,"5|11",2,Yes,"0,00","3,22","118,00","1,00","1,00","0,04","1,00","23,00","1,00","12,00","1,00","125,00",[L/M]teaching activity assigned|[L/M]define program|[L/M]prepare slides|[L/M]prepare evaluation|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
